Id,source,issue,ETD_sent,manual_ETD,y_ETD,PS_sent,manual_PS,y_PS
7,angular,"Hey guys, I'm trying to set a property in my component after it's been loaded. But everywhere I try to do it messes with change detection any tips? Here's a gist with the code, if anyone can have a quick look:",T1: I'm trying to set a property in my component after it's been loaded,ETD_TRYING_TO,1,But everywhere I try to do it messes with change detection,PS_PROBLEM,1
14,angular,"Hi, I'm following tutorials from angular.io and I have (maybe weird) question. Can I configure building anyhow that I don't have all .js and .ts files in the same folder next to each other? That is causing quite a mess. When I move it somewhere else I have problems with SystemJS tho :(",Can I configure building anyhow that I don't have all .js and .ts files in the same folder next to each other?,ETD_CAN_QUESTION,1,T1: When I move it somewhere else I have problems with SystemJS,PS_PROBLEM,1
21,angular,"Trying to come up with a generic pattern validation directive since none is built in, but running into an issue of only getting the string name of the variable passed to the directive instead of the variable itself... any ideas?",T1: Trying to come up with a generic pattern validation directive,ETD_TRYING_TO,1,T2: but running into an issue of only getting the string name of the variable passed to the directive instead of the variable itself,PS_PROBLEM,1
34,angular,"I'm sure this has been asked plenty before but..... I am a bit of a Javascript and Angular 1.x novice now looking to move to Angular2, do I go with Typescript or Javascript? taking the steep learning curve from v1 - v2 of course",T1: now looking to move to Angular2,ETD_LOOKING_TO,1,,,0
105,angular,"Does anyone know why there is anngSubmitEventEmitter? When looking at the source ofngForm, it listens for a submit Event and then emits thengSubmitemitter. But I don't see any reason why there is a separate Event...",,,0,T1: But I don't see any reason why there is a separate Event,"PS_NEG_AUX_VERB,PS_ONLY",1
171,angular,"Hi, I\'m having trouble with cryptic error messages from the router. Wonder if anyone could help. My app has two components  wich contain child routes. For one of the components the routing works fine. For the other, when I navigate to the detail component, the router throws the error : Error: Component ""ContentDetail"" has no route config. After painstakingly  going through the configuration of the two components several times, I cannot  find any difference  f I cannot find any difference between the two configs. Has anybody some experience  with errors related to child routing?",,,0,"T1: I\'m having trouble with cryptic error messages from the router. T2: when I navigate to the detail component, the router throws the error : Error: Component ""ContentDetail"" has no route config","PS_PROBLEM,PS_VERB_ERROR,PS_ERROR_NOUN_PHRASE,PS_VERB_NO",1
249,angular,"Hello! If I'm looking to test a component that gets a service injected via the constructor, can I just provide a mock for the service itself so that I can focus on the actual component?    (Ping @juliemr :))",T1: I'm looking to test a component that gets a service injected via the constructor T2: can I just provide a mock for the service itself ,"ETD_LOOKING_TO,ETD_CAN_QUESTION",1,,,0
310,angular,Hi...in Beta.9 there has been support for outlets in dynamic components. I  have made a demo here  where the component is been loaded dynamically and has an outlet. But it is not working as expected.Somebody please suggest me how to make outlet work for dynamic components,,,0,T1: But it is not working as expected,PS_NEG_AUX_VERB,1
365,angular,"OK.  I'll try a narrower question... how to add HTML to elementRef.nativeElement?  In Attribute Directive, want to add a floating div to the inputbox.  Should I be using Renderer instead of elementRef?","T1: In Attribute Directive, want to add a floating div to the inputbox.",ETD_WANT_TO,1,,,0
413,angular,"I\'m having trouble with radio buttons. I have two radio buttons using the same name and [(ngModel)]=""value"". When I select a button, I get an error:angular2-polyfills.js:267 Uncaught EXCEPTION: Error during evaluation of ""change""ORIGINAL EXCEPTION: TypeError: Cannot read property \'value\' of undefinedI couldn\'t find any definitive answers for using radio buttons with ngModel.https://plnkr.co/edit/OF4Hiv0fUPiL72mRPXD0",,,0,"T1: I\'m having trouble with radio buttons. T2: When I select a button, I get an error","PS_PROBLEM,PS_VERB_ERROR,PS_ERROR_NOUN_PHRASE",1
464,angular,"Since the SystemJS Gitter seems to be deserted at the moment I am trying my luck here. When importing a global resource (non module) the DOM seems not to be patched simply by callingimport ""xyz"". This differs from the behavior when ascripttag is used.Does any1 have some insights into this ?",,,0,"T2: When importing a global resource (non module) the DOM seems not to be patched simply by callingimport ""xyz"".",PS_SEEMS_TO_NEG_VERB,1
473,angular,"Does anyone know where find how to do interface injection? Tried something like providers: [provide(IEngine, {useClass: Engine})], but have strange Zone-related error ('IEngine is not defined`, however IEngine defined upper). I have strong feeling that I am doing something wrong :)",,,0,"T2: but have strange Zone-related error ('IEngine is not defined`, however IEngine defined upper)","PS_VERB_ERROR,PS_ERROR_NOUN_PHRASE",1
