Id,Pattern code
1,ETD_ACCORDING_TO_DOC
2,ETD_ATTEMPT
3,ETD_BE_POSSIBLE_TO
4,ETD_BETTER_TO
5,ETD_CAN_QUESTION
6,ETD_CONSIDER_ACTION
7,ETD_ENVISION
8,ETD_EXPECTED
9,ETD_FOR_EXAMPLE
10,ETD_GOAL
11,ETD_GOING_TO
12,ETD_HAVE_TO
13,ETD_HOPE
14,ETD_IMPLEMENT
15,ETD_IN_ORDER_FOR
16,ETD_INSTEAD_OF_EXP_BEHAVIOR
17,ETD_IS_THERE_QUESTION
18,ETD_LEARN
19,ETD_LOOKING_TO
20,ETD_MAKE_SENSE
21,ETD_MEAN
22,ETD_MUST
23,ETD_NEED_TO
24,ETD_NORMALLY
25,ETD_PLAN
26,ETD_REQUIRES
27,ETD_SHOULD
28,ETD_SUPPOSED_TO
29,ETD_THINK_ABOUT
30,ETD_TRYING_TO
31,ETD_USED_TO
32,ETD_WANT_TO
33,ETD_WORKING_ON
34,ETD_WOULD_BE
35,ETD_WOULD_LIKE
36,ETD_WOULD_RATHER
37,PS_PROBLEM
38,PS_PROBLEM_IS
39,PS_VERB_ERROR
40,PS_NEG_AUX_VERB
41,PS_NEG_VERB
42,PS_ERROR_NOUN_PHRASE
43,PS_NEG_ADV_ADJ
44,PS_NEG_AUX_ADV_ADJ
45,PS_SEEMS_TO_NEG_VERB
46,PS_TIME_LIMIT
47,PS_NO_NOUN
48,PS_VERB_TO_BE_NEGATIVE
49,PS_NOT_IN
50,PS_BUT_RB
51,PS_MAKE_NEG_ADV
52,PS_END_UP
53,PS_SURPRISED_THAT
54,PS_NOTICE
55,PS_NO_LONGER
56,PS_VERB_NO
57,PS_WITH_NO
58,PS_FIND_HARD
59,PS_IS_THIS_NEG
60,PS_ONLY
61,PS_TOO
62,PS_ERROR_OCCUR
63,PS_ETD_TRY
64,PS_STUCK
65,PS_STRUGGLING
66,PS_WHERE_SHOULD_NEG
