issue,output,5_1examples,5_2examples,5_3examples,5_4examples,5_5examples,10_1examples,10_2examples,10_3examples,10_4examples,10_5examples,15_1examples,15_2examples,15_3examples,15_4examples,15_5examples
""""""" hi all, i want to make reactive form with file upload.  on upload no promblem im uploading the file but on update i get the file url . so how i convert the file url to File object to update the formControl? """"""",No sentences found to indicate the error or undesired behavior. The answer is NO.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
""""""" Hi, I've been looking for few days on how to support selecting sub-set of an object based on the type of its properties. However I didn't find a way to make it work: [<-LINK->] Anyone here does have an idea ? Is there a possibility to filter a keyof based on the value C[keyof C] to be a string ? It is not really better, so I was able to pass the assignment issue but usingK extends Extract<{ [k in keyof C] : (C[k] extends string ? k : never) }[keyof C], string>and data (of type C[K]) doingdata.lengthfails length not assignable to C[K] """"""","The sentence """""" However I didn't find a way to make it work """""" uses <pattern>didn't find a way to VB</pattern> to indicate that the user is having trouble in ""support selecting sub-set of an object"". The answer is YES.",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
""""""" I'm trying to type-guard on a discriminant property with Array.prototype.includes but that doesn't seem to work (2.8.1), didn't find anything searching through the issue tracker. Here is a gist of the principle [<-LINK->] """"""","The sentence """""" I'm trying to type-guard on a discriminant property with Array.prototype.includes but that doesn't seem to work (2.8.1) """""" uses <pattern>doesn't seem to VB</pattern> to indicate that the user is getting trouble in ""type-guard on a discriminant property"". The answer is YES.",0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
""""""" Hi guys, I'm getting ready to launch the first really big angular2 app into prodution, but looking at the javascript timeline, the evaluate script of the whole bundle (300kB gzipped) takes 800ms, compared to the (more or less identical) AngularJS implementation that only took 40ms to evaluate this is quite a lot, any ideas? """"""","The sentence """""" the evaluate script of the whole bundle (300kB gzipped) takes 800ms, compared to the (more or less identical) AngularJS implementation that only took 40ms to evaluate this is quite a lot """""" uses <pattern>only took sometime to VB</pattern> to indicate that ""the evaluate script of the whole bundle"" is taking too much time and not efficient. The answer is YES.",0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
""""""" The ethereum wallet isn't finishing downloading.. Does anyone have this problem also? Stuck at Downloading block 892,148 of 4,637,826,Downloading chain structure 3,297,848 of 3,325,840 Any advice? Maybe I do need to put my laptop under the crane? XD Okay the running water was the fix. THANKS! """"""","The sentence """""" The ethereum wallet isn't finishing downloading. """""" uses <pattern>sth isn't finishing VBG</pattern> to indicate that there is something wrong with ""ethereum wallet"". The answer is YES.",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
""""""" Hi, i new here and i'm workin in some app with angular when execute the application show me this error  ""You provided an invalid object where a stream was expected"". You can provide an Observable, Promise, Array, or Iterable. any ideas ? """"""","The sentence """""" i new here and i'm workin in some app with angular when execute the application show me this error """""" uses <pattern>VB PRP this error</pattern> to show the error which the user is currently encountering. The answer is YES.",1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
""""""" Im having trouble trying to update some data using and api called ""crud:crud"", I can ""get"" and ""post"" fine but ""put"" is giving me this error. How could I fix that? """"""","The sentence """""" Im having trouble trying to update some data using and api called ""crud:crud"" """""" uses <pattern>having trouble VBG</pattern> to indicate that there is something wrong when ""trying to update some data"". The answer is YES.",1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
""""""" Anyone good with git? I'm getting some weird behavior and I can't quite make sense of it. when I do git rebase -i HEAD~3, it shows the commits in this order:  ``` commit 1 commit 2 commit 3 ```. I would expect it to be: ``` commit 3 commit 2 commit 1 ``` """"""","The sentence """""" I'm getting some weird behavior and I can't quite make sense of it. """""" uses an undesired adjective <pattern>weird</pattern> to indicate that the user is getting something wrong. The answer is YES.",0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
""""""" Hey guys, any ideas on why a test executes perfectly on a real android device, but .waitForElementById and .elementById will fail every time when I run the same exact test on SauceLabs (Android Emulator)? I'm using node bindings and the latest versions of everything. ""Error response status: 7, , NoSuchElement - An element could not be located on the page using the given search parameters"" """"""","The sentence """""" but .waitForElementById and .elementById will fail every time when I run the same exact test on SauceLabs (Android Emulator)? """""" uses <pattern>sth will fail every time</pattern> to indicate that there is something wrong with "".waitForElementById and .elementById"". The answer is YES.",1,0,0,0,0,1,0,0,1,0,1,1,0,1,0
""""""" Hey, can you somehow wait until (event)=""doSomething()"" finishes? I'm trying to do modal with multiple actions and I'd love to have something like <close-button (click)=""doSomethingTakingLong()""> and close the modalafterthe action has completed """"""",No sentences found to indicate the error or undesired behavior. The answer is NO.,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
""""""" Hey guys, I'm trying to set a property in my component after it's been loaded. But everywhere I try to do it messes with change detection. any tips? Here's a gist with the code, if anyone can have a quick look: """"""","The sentence """""" But everywhere I try to do it messes with change detection. """""" uses an undesired verb <pattern>messes with</pattern> to indicate that there is something wrong with ""change detection"". The answer is YES.",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
""""""" Hi guys, what is the next step after [<-LINK->] ? deep net for classification, prediction, sentiment analysis, yes but how to ? Only available examples do it by using already separated positive/negative data. Can't we use google Word2Vec file (1.5Go) to do that ? """"""",No sentences found to indicate the error or undesired behavior. The answer is NO.,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
