Tag,Corrected,Count
8.04,ubuntu,57
9.1,ubuntu,91
10.04,ubuntu,557
10.1,ubuntu,769
11.04,ubuntu,884
11.1,ubuntu,1337
12.04,ubuntu,2535
12.1,ubuntu,665
13.04,ubuntu,533
13.1,ubuntu,443
14.04,ubuntu,2031
14.1,ubuntu,192
15.04,ubuntu,308
15.1,ubuntu,263
16.04,ubuntu,1407
16.1,ubuntu,138
17.04,ubuntu,164
17.1,ubuntu,278
18.04,ubuntu,1090
18.1,ubuntu,153
19.04,ubuntu,178
19.1,ubuntu,147
20.04,ubuntu,757
20.1,ubuntu,120
21.04,ubuntu,111
21.1,ubuntu,84
22.04,ubuntu,203
802.1,no,96
802.11,no,71
6502,no,128
8051,no,130
8085,no,73
68000,no,128
.a,,97
.app,,100
.bash-profile,,96
.class-file,,112
.d.ts,,99
.desktop,,184
.doc,,99
.emf,,50
.htaccess,,3132
.htpasswd,,121
.lib,,87
.net,,31015
.net-1.1,.net,123
.net-2.0,.net,296
.net-3.0,.net,94
.net-3.5,.net,621
.net-4.0,.net,1090
.net-4.5,.net,443
.net-4.5.2,.net,99
.net-4.6,.net,124
.net-4.6.1,.net,105
.net-4.6.2,.net,92
.net-4.7,.net,73
.net-4.7.2,.net,105
.net-4.8,.net,192
.net-5,.net,464
.net-6.0,.net,684
.net-7.0,.net,93
.net-assembly,,388
.net-cf-3.5,,99
.net-client-profile,,66
.net-core,,3640
.net-core-2.0,.net-core,109
.net-core-2.1,.net-core,101
.net-core-2.2,.net-core,105
.net-core-3.0,.net-core,144
.net-core-3.1,.net-core,208
.net-core-rc2,,100
.net-framework,,127
.net-framework-version,,179
.net-maui,,190
.net-micro-framework,,122
.net-native,,100
.net-reflector,,65
.net-remoting,,104
.net-standard,,180
.net-standard-2.0,.net-standard,169
.nettiers,,53
.obj,,115
.post,,100
.profile,,107
.so,,113
.when,,99
10gbethernet,,89
128-bit,,67
12factor,,69
16-bit,,132
24-bit,,51
2captcha,,54
2checkout,,98
2d,,633
2d-games,,159
2d-vector,,99
2phase-commit,,52
2sxc,,127
2-way-object-databinding,,107
301-redirect,,114
32-bit,,418
32bit-64bit,,350
32feet,,98
32-vs-64-bit,32bit-64bit,64
360-degrees,,100
360-panorama,,79
360-virtual-reality,,103
3d,,2260
3d-engine,,58
3des,,120
3d-graphics,,50
3d-model,,112
3d-modelling,,115
3d-reconstruction,,128
3ds,,100
3d-secure,,94
3dsmax,,175
3dtouch,,119
3g,,265
3gp,,79
3nf,,106
3-tier,,116
3ware,,95
4d,,93
4d-database,,99
4g,,111
4gl,,99
4k,,80
4k-monitor,,60
4k-resolution,,85
500-error,,102
502-error,,61
503-error,,82
51degrees,,54
64-bit,,1517
7zip,,240
7-zip,,139
802.11n,no,106
802.1x,no,54
8-bit,,107
960.gs,,110
a2dp,,80
aabb,,99
aac,,198
aad-b2c,,101
aapt,,123
aapt2,,97
aar,,143
aasm,,99
abac,,157
abaddressbook,,158
abap,,994
abaqus,,124
abbreviation,,109
abbyy,,90
abc,,106
abcpdf,,105
abi,,168
ab-initio,,72
abort,,126
abp,,159
abpeoplepickerview,,99
abpersonviewcontroller,,71
absinthe,,72
absolute,,129
absolutelayout,,100
absolute-path,,161
absolute-value,,104
abstract,,197
abstract-base-class,,96
abstract-class,,420
abstract-data-type,,107
abstract-factory,,111
abstraction,,211
abstract-methods,,100
abstract-syntax-tree,,450
abstracttablemodel,,103
abstract-type,,91
abtest,,53
ab-testing,,178
acaccount,,56
acceleo,,102
accelerated-mobile-page,,92
accelerate-framework,,157
acceleration,,110
accelerator,,101
accelerometer,,463
accent-insensitive,,50
acceptance-testing,,187
accepts-nested-attributes,,52
access-control,,280
accesscontrolexception,,99
access-control-list,,72
access-denied,,206
accessibility,,1222
accessibility-api,,81
accessibilityservice,,134
access-keys,,93
access-levels,,67
access-log,,109
access-modifiers,,165
accessor,,162
accessories,,73
accessory,,99
accessoryview,,100
access-point,,147
access-rights,,109
access-specifier,,101
access-token,,425
access-violation,,223
accord.net,,106
accordion,,273
account,,198
accounting,,119
account-kit,,100
account-management,,99
accountmanager,,158
accounts,,181
accumarray,,57
accumulate,,112
accumulator,,105
accumulo,,103
accurev,,100
ace,,112
ace-editor,,121
acer,,207
acer-aspire,,127
acfpro,,104
achartengine,,131
achievements,,103
acid,,113
ack,,110
acl,,392
acm-java-libraries,,88
acoustics,,51
acpi,,194
acquia,,65
acr,,58
acr122,,90
acra,,106
acrobat,,248
acrobat-sdk,,85
acrofields,,83
acronis-trueimage,,75
acronym,,95
across,,107
acs,,142
action,,447
actionbarsherlock,,379
action-button,,100
actioncable,,116
actioncontext,,59
actioncontroller,,129
actiondispatch,,73
actionevent,,102
action-filter,,159
actionfilterattribute,,110
actionlink,,131
actionlistener,,311
actionmailer,,251
action-mapping,,71
actionmethod,,101
actionpack,,63
actionresult,,131
actions-builder,,62
actionscript,,1010
actionscript-2,actionscript,225
actionscript-3,actionscript,4682
actions-on-google,,417
actiontext,,103
actionview,,148
actionviewhelper,,76
activation,,143
activation-function,,115
activation-lock,,74
activator,,116
activeadmin,,302
activeandroid,,100
activecollab,,99
active-directory,,3206
active-directory-group,,116
activedirectorymembership,,76
active-form,,101
activejdbc,,119
activemerchant,,110
activemodel,,132
active-model-serializers,,110
activemq,,715
activemq-artemis,,221
activemq-cpp,,72
activeperl,,98
activepivot,,71
activepython,,50
activerecord,,1647
active-record-query,,91
active-relation,,64
activereports,,110
activeresource,,110
activescaffold,,99
activestate,,100
activesupport,,132
activesupport-concern,,99
activesync,,136
activex,,445
activexobject,,115
activiti,,154
activities-overview,,87
activity-diagram,,108
activity-finish,,105
activitygroup,,103
activity-indicator,,102
activity-lifecycle,,155
activity-manager,,90
activity-monitor,,59
activitynotfoundexception,,70
activity-recognition,,105
activity-stack,,99
activity-transition,,81
actix-web,,168
actor,,339
actor-model,,69
acts-as-audited,,50
acts-as-list,,63
acts-as-taggable,,54
acts-as-taggable-on,,133
acts-as-votable,,61
actualwidth,,83
actuator,,69
acumatica,,151
acumatica-kb,,102
ada,,376
adaboost,,106
adafruit,,116
adafruit-circuitpython,,57
adal,,212
adal.js,,106
adam,,118
adaptec,,53
adapter,,531
adaptive-cards,,146
adaptive-design,,81
adaptive-layout,,82
adaptive-threshold,,50
adaptor,,59
adb,,817
adbannerview,,104
adblock,,153
adc,,168
ad-certificate-services,,101
adcolony,,71
add,,330
add-apt-repository,,87
addchild,,106
addclass,,153
addeventlistener,,326
add-filter,,99
addhandler,,74
add-in,,344
addition,,154
additional-drivers,,61
addobserver,,54
add-on,,222
addrange,,61
address,,70
address-bar,,116
addressbook,,157
address-book,addressbook,97
addressbookui,,62
addressing,,101
addressing-mode,,107
addressof,,75
address-sanitizer,,151
address-space,,54
addslashes,,77
addsubview,,130
addtarget,,78
addtextchangedlistener,,54
addthis,,109
adduser,,93
adempiere,,85
adfs,,364
adfs2.0,adfs,143
adfs3.0,adfs,104
adfs4.0,adfs,81
adgroup,,51
adhoc,,136
ad-hoc-distribution,,136
adjacency-list,,129
adjacency-matrix,,155
adjustment,,88
adk,,109
adldap,,66
adlds,,76
ad-lds,,51
admin,,402
adminer,,99
admin-generator,,71
adminhtml,,100
administration,,220
administrator,,294
adminlte,,117
admin-on-rest,,103
admin-rights,,67
admob,,1116
admob-rewardedvideoad,,85
ado,,245
ado.net,,715
ado.net-entity-data-model,,112
adobe,,972
adobe-acrobat,,191
adobe-air,,65
adobe-analytics,,126
adobe-animate,,83
adobe-brackets,,128
adobe-captivate,,83
adobecreativesdk,,108
adobe-cs5,,60
adobe-edge,,102
adobe-flash,,174
adobe-illustrator,,181
adobe-indesign,,198
adobe-lightroom,,56
adobe-photoshop,,382
adobe-premiere,,68
adobe-reader,,194
adobe-xd,,100
adodb,,158
adomd.net,,99
adonis.js,,153
adoptopenjdk,,94
adorner,,100
adp,,65
ads,,651
adsense,,240
adsense-api,,98
adsi,,105
adsl,,99
adsl-router,,75
adt,,228
advanced-custom-fields,,254
advanceddatagrid,,103
advanced-filter,,74
advanced-format,,70
advanced-installer,,110
advanced-queuing,,84
advanced-rest-client,,52
advanced-search,,100
advantage-database-server,,102
advapi32,,50
adventure,,99
adventureworks,,99
advertisements,,84
advertisement-server,,80
adview,,108
adware,,81
adwhirl,,104
