,issue,openAI_ETD1,y_ETD,y''_ETD,ACC_AI_ETD
angular,"Hi, when I am trying to apply class dynamically inside ngfor like code where i is index. it is messing up my material css i.e I am not able to find any material css on the component. button looks like plain HTML button. The same is happening with other components like input as well. I am using Angular 7. any Explanation why that was not working?","The sentence """""" when I am trying to apply class dynamically inside ngfor like code where i is index """""" uses <pattern>trying to VB</pattern> to indicate that the user is ""trying to apply class dynamically inside ngfor"". The answer is YES.",0,0,1
angular,"is it possible to get a RouteConfig matched against a route/url? I'm trying to create a Breadcrumb component and get the configs for each of the items: ""/products/wood/table"" I already have them as an array. so would like to map those URLs to matched RouteConfig (as they have data attached to each)","The sentence """""" I'm trying to create a Breadcrumb component and get the configs for each of the items """""" uses <pattern>trying to VB</pattern> to indicate that the user wants to ""create a Breadcrumb component and get the configs for each of the items"". The answer is YES.",0,0,1
,I have angular running from a .Net Core server. The server won't even load the app (by design) until the user has an access token. What's the best way for the angular app to get that access token and user information?,"The sentence """""" What's the best way for the angular app to get that access token and user information? """""" uses <pattern>What's the best way to VB</pattern> to indicate the user's expectation to ""get that access token and user information"". The answer is YES.",0,0,1
angular,"Hello everyone, I want to do sub menu with searh like in gitlab. i use this code for menu but i have problem in sub menu with search. how can i do that. any help please?","The sentence """""" i want to do sub menu with search like in gitlab """""" uses <pattern>want to VB</pattern> to indicate that the user wants to ""do sub menu with search like in gitlab"". The answer is YES.",0,0,1
angular,I'm struggling with getting this logic [code]. I wanted to set a default value to the drop down if API returns no data,"The sentence """""" I wanted to set a default value to the drop down if API returns no data """""" uses <pattern>wanted to VB</pattern> to indicate that the user wants to ""set a default value to the drop down"". The answer is YES.",0,0,1
angular,In this graph I have 6 series of data but i want to show only top 5 series of data [link]. how can i achieve to display top 5 series of data?. In this graph I have 6 series of data but i want to show only top 5 series of data. Is anyone online to answer my question?,"The sentence """""" how can i achieve to display top 5 series of data? """""" uses <pattern>how to VB</pattern> to indicate that the user wants to ""display top 5 series of data"". The answer is YES.",0,0,1
,"Hi! I have just noticed, that `[ngSwitch]=""condition""` starts displaying the new matching element before removing the old one when `condition` changes, meaning that elements for both the previous and the current switch cases are visible for a moment (a change detection cycle most likely). Is it intended behavior? Is there a workaround?","The sentence """""" `[ngSwitch]=""condition""` starts displaying the new matching element before removing the old one when `condition` changes """""" uses <pattern>trying to VB</pattern> to indicate that the user is describing the behavior of the ngSwitch directive in Angular. The answer is YES.",1,0,0
,"Hi, I'm getting below error `Element implicitly has an 'any' type because expression of type '""name1""' can't be used to index type '{}'.` Can someone help me here? TIA",No sentences found to indicate the user's expectation. The answer is NO.,1,1,1
angular,What is the appropriate way of using local environments variables in Angular? I would like to import variables from local environment and use them in the Angular app. Any ideas and suggestions how to do this properly?,"The sentence """""" I would like to import variables from local environment and use them in the Angular app. """""" uses <pattern>would like to VB</pattern> to indicate that the user wants to ""import variables from local environment and use them in the Angular app"". The answer is YES.",0,0,1
angular,"hey guys, got a weird one here. I'm using ng-select in my app, but it's used hundreds of times all over the place, so to make usage consistent and to make updating all of them easier, we made a wrapper component which has the ng-select inside it. It's mostly working very well, the only problem is with projected content. So ng-select supports projected content with `ng-option` elements, so you can do, e.g. this: [code]. This would allow options in the select list to have custom span inside them. But I cannot get this working in my wrapper. The template for the wrapper looks like: [code]. And from other templates I would use it like: [code]. I would expect projected content to be passed straight through to inner `ng-select`, but it's not working at all. If I move the `ng-content` tags out of between `ng-select` then the mark-up is rendered, but ng-select cannot use it. What am I missing? Is this even possible?","The sentence """""" I cannot get this working in my wrapper """""" uses <pattern>trying to VB</pattern> to indicate that the user is ""trying to get this working in my wrapper"". The answer is YES.",0,0,1
