,issue,PS1,y_PS,y''_PS,ACC_AI_PS
angular,"Hi, when I am trying to apply class dynamically inside ngfor like code where i is index. it is messing up my material css i.e I am not able to find any material css on the component. button looks like plain HTML button. The same is happening with other components like input as well. I am using Angular 7. any Explanation why that was not working?","The sentence """"""it is messing up my material css i.e I am not able to find any material css on the component. button looks like plain HTML button. The same is happening with other components like input as well."""""" uses <pattern>VB(messing) up my Noun(material css), VB(am) not VB(able) to VB(find) any Noun(material css), Noun(button) VB(looks) like plain HTML Noun(button), VB(is) happening with other Noun(components)</pattern> to indicate that the user is experiencing issues with the material CSS not being applied correctly, causing the components to appear as plain HTML elements. The answer is YES.",0,0,1
angular,"is it possible to get a RouteConfig matched against a route/url? I'm trying to create a Breadcrumb component and get the configs for each of the items: ""/products/wood/table"" I already have them as an array. so would like to map those URLs to matched RouteConfig (as they have data attached to each)",No sentences found to indicate the error or undesired behavior. The answer is NO.,1,1,1
,I have angular running from a .Net Core server. The server won't even load the app (by design) until the user has an access token. What's the best way for the angular app to get that access token and user information?,No sentences found to indicate the error or undesired behavior. The answer is NO.,0,1,0
angular,"Hello everyone, I want to do sub menu with searh like in gitlab. i use this code for menu but i have problem in sub menu with search. how can i do that. any help please?","The sentence """"""i have problem in sub menu with search"""""" uses <pattern>VB(have) problem in Noun(sub menu) with Noun(search)</pattern> to indicate the user is encountering an issue with the sub menu's search functionality. The answer is YES.",0,0,1
angular,I'm struggling with getting this logic [code]. I wanted to set a default value to the drop down if API returns no data,No sentences found to indicate the error or undesired behavior. The answer is NO.,0,1,0
angular,In this graph I have 6 series of data but i want to show only top 5 series of data [link]. how can i achieve to display top 5 series of data?. In this graph I have 6 series of data but i want to show only top 5 series of data. Is anyone online to answer my question?,No sentences found to indicate the error or undesired behavior. The answer is NO.,0,1,0
,"Hi! I have just noticed, that `[ngSwitch]=""condition""` starts displaying the new matching element before removing the old one when `condition` changes, meaning that elements for both the previous and the current switch cases are visible for a moment (a change detection cycle most likely). Is it intended behavior? Is there a workaround?",No sentences found to indicate the error or undesired behavior. The answer is NO.,0,1,0
,"Hi, I'm getting below error `Element implicitly has an 'any' type because expression of type '""name1""' can't be used to index type '{}'.` Can someone help me here? TIA","The sentence """"""Hi, I'm getting below error `Element implicitly has an 'any' type because expression of type '""name1""' can't be used to index type '{}'.` Can someone help me here? TIA"""""" uses <pattern>VB(getting) below error</pattern> to indicate ... The answer is YES.",0,0,1
angular,What is the appropriate way of using local environments variables in Angular? I would like to import variables from local environment and use them in the Angular app. Any ideas and suggestions how to do this properly?,No sentences found to indicate the error or undesired behavior. The answer is NO.,1,1,1
angular,"hey guys, got a weird one here. I'm using ng-select in my app, but it's used hundreds of times all over the place, so to make usage consistent and to make updating all of them easier, we made a wrapper component which has the ng-select inside it. It's mostly working very well, the only problem is with projected content. So ng-select supports projected content with `ng-option` elements, so you can do, e.g. this: [code]. This would allow options in the select list to have custom span inside them. But I cannot get this working in my wrapper. The template for the wrapper looks like: [code]. And from other templates I would use it like: [code]. I would expect projected content to be passed straight through to inner `ng-select`, but it's not working at all. If I move the `ng-content` tags out of between `ng-select` then the mark-up is rendered, but ng-select cannot use it. What am I missing? Is this even possible?","The sentence """"""But I cannot get this working in my wrapper."""""" uses <pattern>VB(cannot get) this VB(working)</pattern> to indicate the program's malfunction or undesired behavior. 
 
 The sentence """"""I would expect projected content to be passed straight through to inner `ng-select`, but it's not working at all."""""" uses <pattern>VB(is) not VB(working)</pattern> to indicate the program's malfunction or undesired behavior. 
 
 The sentence """"""If I move the `ng-content` tags out of between `ng-select` then the mark-up is rendered, but ng-select cannot use it."""""" uses <pattern>ng-select VB(cannot use) it</pattern> to indicate the program's malfunction or undesired behavior. 
 
 The answer is YES.",0,0,1
