,issue,PS1,y_PS,y''_PS,ACC_AI_PS
angular,"Hi, when I am trying to apply class dynamically inside ngfor like code where i is index. it is messing up my material css i.e I am not able to find any material css on the component. button looks like plain HTML button. The same is happening with other components like input as well. I am using Angular 7. any Explanation why that was not working?","The sentence """""" it is messing up my material css i.e I am not able to find any material css on the component. """""" uses <pattern>is messing up</pattern> to indicate that there is something wrong with ""material css"". The answer is YES.",0,0,1
angular,"is it possible to get a RouteConfig matched against a route/url? I'm trying to create a Breadcrumb component and get the configs for each of the items: ""/products/wood/table"" I already have them as an array. so would like to map those URLs to matched RouteConfig (as they have data attached to each)",No sentences found to indicate the error or undesired behavior. The answer is NO.,1,1,1
,I have angular running from a .Net Core server. The server won't even load the app (by design) until the user has an access token. What's the best way for the angular app to get that access token and user information?,"The sentence """""" The server won't even load the app (by design) until the user has an access token. """""" uses <pattern>won't even VB</pattern> to indicate that there is something wrong with ""the server loading the app"". The answer is YES.",0,0,1
angular,"Hello everyone, I want to do sub menu with searh like in gitlab. i use this code for menu but i have problem in sub menu with search. how can i do that. any help please?","The sentence """""" i have problem in sub menu with search. """""" uses <pattern>have problem in sth</pattern> to indicate that there is something wrong with ""sub menu with search"". The answer is YES.",0,0,1
angular,I'm struggling with getting this logic [code]. I wanted to set a default value to the drop down if API returns no data,"The sentence """""" I wanted to set a default value to the drop down if API returns no data """""" uses <pattern>API returns no data</pattern> to indicate that there is an issue with the API returning no data. The answer is YES.",0,0,1
angular,In this graph I have 6 series of data but i want to show only top 5 series of data [link]. how can i achieve to display top 5 series of data?. In this graph I have 6 series of data but i want to show only top 5 series of data. Is anyone online to answer my question?,No sentences found to indicate the error or undesired behavior. The answer is NO.,0,1,0
,"Hi! I have just noticed, that `[ngSwitch]=""condition""` starts displaying the new matching element before removing the old one when `condition` changes, meaning that elements for both the previous and the current switch cases are visible for a moment (a change detection cycle most likely). Is it intended behavior? Is there a workaround?","The sentence """""" `[ngSwitch]=""condition""` starts displaying the new matching element before removing the old one when `condition` changes, meaning that elements for both the previous and the current switch cases are visible for a moment (a change detection cycle most likely). """""" uses <pattern>starts VBG</pattern> to indicate that there is something wrong with ""`[ngSwitch]=""condition""`"". The answer is YES.",0,0,1
,"Hi, I'm getting below error `Element implicitly has an 'any' type because expression of type '""name1""' can't be used to index type '{}'.` Can someone help me here? TIA","The sentence """""" I'm getting below error `Element implicitly has an 'any' type because expression of type '""name1""' can't be used to index type '{}'.` """""" uses <pattern>can't be used to VB</pattern> to indicate that there is an error with ""index type '{}'"". The answer is YES.",0,0,1
angular,What is the appropriate way of using local environments variables in Angular? I would like to import variables from local environment and use them in the Angular app. Any ideas and suggestions how to do this properly?,No sentences found to indicate the error or undesired behavior. The answer is NO.,1,1,1
angular,"hey guys, got a weird one here. I'm using ng-select in my app, but it's used hundreds of times all over the place, so to make usage consistent and to make updating all of them easier, we made a wrapper component which has the ng-select inside it. It's mostly working very well, the only problem is with projected content. So ng-select supports projected content with `ng-option` elements, so you can do, e.g. this: [code]. This would allow options in the select list to have custom span inside them. But I cannot get this working in my wrapper. The template for the wrapper looks like: [code]. And from other templates I would use it like: [code]. I would expect projected content to be passed straight through to inner `ng-select`, but it's not working at all. If I move the `ng-content` tags out of between `ng-select` then the mark-up is rendered, but ng-select cannot use it. What am I missing? Is this even possible?","The sentence """""" the only problem is with projected content """""" uses <pattern>the only problem is with sth</pattern> to indicate that there is something wrong with ""projected content"". The answer is YES.",0,0,1
angular,"I have built an angular 11 app with routing modules. If you start the app by going to the domain url it will do the right thing and go to the ""dashboard"" path. Once there, I can use a menu with many links to click on and the app will navigate to where it should. [link] -> brings me to 'dashboard' path. But I cannot type another path in the browser address bar that is valid (and I can get to via routerlink or code anvagation) as: [code]. What am I doing wrong?","The sentence """""" But I cannot type another path in the browser address bar that is valid (and I can get to via routerlink or code anvagation) """""" uses <pattern>cannot VB</pattern> to indicate that there is something wrong with ""typing another path in the browser address bar"". The answer is YES.",0,0,1
angular,"is it possible to animate the parent of a list when an ngFor :enter happens? currently I have a slide-in animation for when an item gets added to the top of the stack and use transform: `translateY(-100%) -> 0%` but then you have the entire list not reacting to the addition. If I use position: relative for the animation, it could be janky. if I can react on the parent/list of the items, I could start the animation with `transform: -200px -> 0` and the it'll slide the list down as well",No sentences found to indicate the error or undesired behavior. The answer is NO.,0,1,0
angular,"Hello everyone, I'm migrating from karma to jest and I need to convert: jest.spyOn(component, 'onBlur').and.callThrough(); I get this error in Jest: Property 'and' does not exist on type 'SpyInstance<void, []>'","The sentence """""" I get this error in Jest: Property 'and' does not exist on type 'SpyInstance<void, []>' """""" uses <pattern>get this error</pattern> to indicate that there is an error with ""Property 'and' does not exist on type 'SpyInstance<void, []>'"". The answer is YES.",0,0,1
,"Hello, i have update my Angular 9 Project to Angular 11 and get now this error if i want start with `npm run start`. `ERROR in Cannot read property 'kind' of undefined`. On `ng build --prod` i get more details: with typescript 4.1.5 i get again this error: `ERROR in Cannot read property 'flags' of undefined`. Like show in link below. if i change `""aot"": true` to`""aot"": false` and remove `""buildOptimizer"": true,` in angular.json then i get new error: `ERROR in No NgModule metadata found for 'AppModule'. I think the problem is custom Angular builders. Thank you for you time and help","The sentence """""" i have update my Angular 9 Project to Angular 11 and get now this error if i want start with `npm run start`. `ERROR in Cannot read property 'kind' of undefined`. """""" uses <pattern>get now this error</pattern> to indicate that there is something wrong with ""starting the project with `npm run start`"". The answer is YES.",0,0,1
angular,"I have an input and an output. However if I try to connect them, the output does not work anymore: [code]. internaly, it is: [code]. Any ideas?","The sentence """""" the output does not work anymore """""" uses <pattern>does not work</pattern> to indicate that there is something wrong with ""the output"". The answer is YES.",0,0,1
angular,Hi ! i'm trying to compare between two texts and display colored text result in a simple div or textarea (i first tried using mat-dialog) but i don't get the colors in HTML in component.ts : [code]. anyone have an idea where is the problem in my code or what to should I add please ?,"The sentence """""" but i don't get the colors in HTML """""" uses <pattern>don't get sth</pattern> to indicate that there is something wrong with ""getting the colors in HTML"". The answer is YES.",0,0,1
